Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
Rastriya Beema Company Limited Promoter Share,38,14400.00,13668.00,13950.00,845.00,11746685.00,13946.00,4.00
RASUWAGADHI HYDROPOWER COMPANY LIMITED,1012,426.00,403.40,408.00,136353.00,55932727.40,428.50,-20.50
RBB Mutual Fund 1,48,10.00,9.82,9.85,55350.00,545588.50,9.93,-0.08
Reliance Finance Ltd.,827,663.00,618.00,632.00,137007.00,86626031.30,664.10,-32.10
Reliance Life Insurance Limited,527,618.00,592.00,600.00,26715.00,16078514.80,620.00,-20.00
Ridi Hydropower Development Company Ltd.,827,910.00,862.00,885.00,322765.00,283874455.40,910.00,-25.00
RMDC Laghubitta Bittiya Sanstha Ltd.,293,1580.00,1540.00,1550.00,45256.00,70419176.40,1585.00,-35.00
RSDC Laghubitta Bittiya Sanstha Ltd.,369,925.00,861.00,887.00,26830.00,23924381.60,930.00,-43.00
Ru Ru Jalbidhyut Pariyojana Limited,112,1305.00,1280.00,1280.00,4861.00,6275079.00,1312.00,-32.00
SABAIKO LAGHUBITTA BITTIYA SANSTHA LIMITED,116,1770.00,1680.00,1703.00,8287.00,14181815.70,1778.00,-75.00
Sadhana Laghubitta Bittiya Sanstha Limited,148,1795.00,1750.00,1769.00,5125.00,9077307.00,1810.00,-41.00
Sagarmatha Insurance Co. Ltd.,160,1300.00,1274.00,1280.00,10290.00,13223444.20,1322.00,-42.00
Salt Trading Corporation,136,8750.00,8330.00,8450.00,2047.00,17355914.00,8750.00,-300.00
Samata Gharelu Laghubitta Bittiya Sanstha Limited,45,1482.00,1451.00,1451.00,2003.00,2931993.30,1510.00,-59.00
Samriddhi Finance Company Limited,319,612.00,569.00,570.00,45667.00,26433636.80,600.10,-30.10
Samudayik Laghubitta Bittiya Sanstha Limited,38,1400.00,1326.00,1370.00,1190.00,1614104.10,1405.00,-35.00
Sana Kisan Bikas Bank Ltd,381,1780.00,1701.00,1710.00,30389.00,52636705.90,1785.00,-75.00
Sanima Bank Limited,929,495.00,480.60,481.30,135986.00,65924443.70,497.00,-15.70
Sanima Equity Fund,117,16.50,16.04,16.15,399263.00,6459804.97,16.60,-0.45
Sanima General Insurance Limited,234,703.00,674.00,675.00,9038.00,6166555.50,695.00,-20.00
Sanima Large Cap Fund,42,10.30,9.95,10.16,68190.00,691215.90,10.12,0.04
Sanima Life Insurance Limited,4855,700.00,662.00,675.00,51516.00,34762496.00,699.00,-24.00
Sanima Mai Hydropower Ltd.,1170,550.00,520.00,523.00,149026.00,78806578.70,552.00,-29.00
SANJEN JALAVIDHYUT COMPANY LIMITED,582,425.00,405.00,409.00,59179.00,24334187.40,425.00,-16.00
Saptakoshi Development Bank Ltd,375,455.70,428.00,436.00,36968.00,16221505.60,465.00,-29.00
Shangrila Development Bank Ltd.,853,487.00,468.10,476.00,156558.00,74525880.40,494.00,-18.00
Shikhar Insurance Co. Ltd.,510,1841.50,1788.50,1794.00,24543.00,44199685.50,1845.00,-51.00
Shine Resunga Development Bank Ltd.,1341,530.00,495.00,505.00,189218.00,95574735.00,526.00,-21.00
Shiva Shree Hydropower Ltd,626,430.00,402.10,412.00,93005.00,38452863.60,430.00,-18.00
SHIVAM CEMENTS LTD,489,1531.00,1490.00,1491.10,51569.00,77547028.90,1536.00,-44.90
Shree Investment Finance Co. Ltd.,561,612.00,568.40,574.00,73791.00,42975679.00,613.00,-44.00
Siddhartha Bank Limited,875,503.10,488.00,495.00,188223.00,93023758.30,506.20,-11.20
Siddhartha Equity Fund,22,10.96,10.70,10.77,99087.00,1069111.27,10.87,-0.10
Siddhartha Insurance Ltd.,247,989.00,923.00,926.00,15425.00,14463967.40,975.10,-49.10
Siddhartha Investment Growth Scheme - 2,43,10.88,10.67,10.70,175380.00,1886415.40,10.88,-0.18
Sindhu Bikash Bank Ltd,371,515.00,483.00,498.00,40839.00,20280896.10,514.00,-16.00
Singati Hydro Energy Limited,491,539.00,480.00,499.50,40792.00,20168001.40,529.00,-29.50
Soaltee Hotel Limited,252,260.00,250.00,257.00,58509.00,14867310.60,260.00,-3.00
Standard Chartered Bank Limited,231,545.00,537.00,538.00,19453.00,10499122.50,546.00,-8.00
Summit Laghubitta Bittiya Sanstha Limited,45,1493.60,1435.00,1440.00,1894.00,2746918.20,1523.00,-83.00
Sunrise Bank Limited,500,340.00,329.00,330.10,100938.00,33463422.50,340.20,-10.10
Sunrise Bluechip Fund,24,9.86,9.55,9.77,23600.00,230802.00,9.89,-0.12
Sunrise First Mutual Fund,28,11.40,11.00,11.18,77263.00,861931.34,11.39,-0.21
Support Microfinance Bittiya Sanstha Ltd.,22,2600.00,2351.40,2524.90,1001.00,2428063.60,2600.00,-75.10
Surya Life Insurance Company Limited,418,850.00,815.00,820.10,44959.00,36996386.00,853.00,-32.90
Swabalamban Laghubitta Bittiya Sanstha Limited,337,1690.00,1630.00,1640.00,22770.00,37560747.40,1695.00,-55.00
Swabhimaan Laghubitta Bittiya Sanstha Limited,50,2499.00,2360.00,2435.00,1300.00,3109846.60,2477.00,-42.00
Swarojgar Laghu Bitta Bikas Bank Ltd.,453,1572.90,1536.00,1540.00,30083.00,46587170.20,1584.00,-44.00
Synergy Power Development Ltd.,673,570.00,532.20,539.00,74158.00,40236194.40,575.00,-36.00
Taragaon Regency Hotel Limited,164,392.00,372.00,380.00,37351.00,14150525.80,392.00,-12.00
Unilever Nepal Limited,7,19700.00,19159.00,19400.00,80.00,1546330.00,19550.00,-150.00
Union Hydropower Limited,470,460.00,430.00,436.00,58372.00,25586203.30,465.10,-29.10
Union Life Insurance Company Limited,1132,691.00,665.10,671.00,22858.00,15414833.10,692.00,-21.00
United IDI Mardi RB Hydropower Limited.,182,695.00,656.00,683.00,15116.00,10117677.00,709.00,-26.00
United Insurance Co. (Nepal) Ltd.,287,692.00,655.00,671.80,39011.00,26023129.70,695.00,-23.20
United Modi Hydropower Ltd.,2148,580.00,535.00,543.90,418622.00,229853471.50,577.00,-33.10
UNIVERSAL POWER COMPANY LTD,1354,489.00,455.00,463.00,208442.00,97343270.60,492.00,-29.00
Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,36,1971.80,1894.50,1900.00,1282.00,2460185.80,1992.00,-92.00
Upper Tamakoshi Hydropower Ltd,1811,727.00,693.00,699.00,222244.00,155803969.40,727.00,-28.00
Vijaya laghubitta Bittiya Sanstha Ltd.,92,1674.50,1600.00,1600.00,4894.00,7941020.30,1674.50,-74.50
